name,cuisine,DietaryRestrictions,latitude,longitude,phone,rating
Thalassery Restaurant,Indian Asian       ,Vegetarian Friendly Halal  ,13.04339,77.55417,+91 80 2360 1741,3.5
Tomatina,Mexican Chinese Indian Asian     ,Vegetarian Friendly   ,12.9001,77.64873,+91 80 4242 0606,3.5
Northams Pizza Pita,Pizza        ,   ,,,+91 81057 11811,4.5
Parika Multicuisine Restaurant,Chinese Indian       ,   ,12.967024,77.5945,+91 99001 09637,5
Parivar,Chinese        ,   ,13.00319,77.7359,+91 80 2663 5575,4.5
Sree Vishnu Bhavan,        ,   ,12.96797,77.57472,+91 80 2237 3936,3.5
Tummy Fuel,Italian Mexican Indian Cafe Contemporary    ,   ,12.98177,77.55096,+91 90085 58558,4.5
Masala Chai,Indian        ,   ,12.97768,77.74289,+91 80 4954 5043,4.5
Chaithanya Delicacy,        ,   ,12.96432,77.61501,+91 80 2530 9599,4.5
The Boozy Griffin Marathahalli,Indian Bar Pub      ,Vegan Options   ,12.939211,77.69487,+91 98804 37555,4
Oasis Bar & Restaurant,Chinese        ,   ,12.84084,77.67175,+91 88611 03560,4
Sherlock Holmes Pub And Restaurant,Bar Pub       ,   ,12.994641,77.615074,41250156,3.5
Mayura Bakery,        ,   ,12.97774,77.71457,+91 80 2845 4201,3.5
Alloro,Italian Tuscan Central-Italian      ,Vegetarian Friendly Vegan Options  ,12.850036,77.659996,+91 96208 00500,4.5
Mighty Small,Chinese Indian Bar European Pub    ,   ,12.973332,77.620445,+91 99025 26032,4
Bathinda Junction,Chinese Indian Asian      ,Vegetarian Friendly Vegan Options  ,12.95803,77.56849,+91 98861 01619,4
Moti Mahal Restaurant,International        ,   ,12.977681,77.57731,+91 80 2226 1077,5
Delhi Darbar Family Restaurant,Chinese Indian       ,   ,12.93792,77.5693,+91 98862 97798,3.5
Shanthi Sagar,        ,   ,12.94956,77.57993,26579968,4
Wazirs,Chinese Asian       ,   ,12.96289,77.59832,41145555,4
Rolling Oven,Cafe        ,   ,12.933569,77.62038,+91 76760 99718,5
Upsouth,Indian        ,Vegetarian Friendly   ,13.03215,77.67403,+91 80 2268 2268,3.5
Chai Point,Cafe        ,   ,12.92484,77.63779,+91 92431 50001,3.5
Wall Street Sky Lounge,        ,   ,12.97251,77.60721,+(91)6363531610,4
Gloria Jean's Coffees,Cafe International Australian      ,   ,12.93619,77.58485,+91 80 4148 7631,4
Zain Paradise,        ,   ,13.04226,77.58195,+91 98809 37874,4
Pankaj Delicacies,Indian        ,   ,12.927329,77.585464,+91 98458 71805,5
Vijaya Cafe,Cafe        ,   ,12.9789,77.57507,+91 80 2226 6344,3.5
Kolkata Kathi Roll & Momo's,        ,   ,12.9097,77.5857,+91 99167 38686,4.5
Sree Raghavendra Prasanna Coffee Club,Indian        ,   ,12.95282,77.57364,,4
King Punjabi Restaurant,Indian        ,   ,12.97051,77.654,+91 97400 75533,4.5
Chaat Bazaar,        ,   ,12.959496,77.747536,+91 80670 80120,3.5
The Chocolate Heaven,        ,   ,12.981756,77.61029,+91 85008 62264,4
Skyline Pizzeria Bakery & Cafe,Italian Chinese Indian Pizza Cafe    ,   ,12.90783,77.56138,+91 81975 44572,4.5
Indian Affair,Indian        ,   ,12.96839,77.60097,+91 80 4141 4141,4.5
Chung's Chinese Corner,Chinese        ,   ,12.99786,77.55006,+91 80 2310 4929,4
McDonald's,Fast Food        ,   ,12.9686,77.53716,+91 80660 00666,4.5
7 Plates,Indian Asian       ,Halal   ,13.02176,77.6265,+91 78297 79997,3
Hotel Pavana Residency,Indian        ,   ,12.97727,77.57083,+91 99019 75707,2.5
Brahmin Tiffin,Indian Cafe Healthy      ,   ,12.89749,77.55932,,4
Kanti Sweets,Indian        ,   ,13.070507,77.555565,+91 80 2296 0628,4
Shaken & Stirred,Bar Pub       ,   ,12.981165,77.576904,+91 80 4631 5555,4
Shree Khana Khazana,Indian        ,   ,13.00687,77.5728,+91 80 4965 3468,4.5
Hyderabad Handi Biryani,Chinese Indian       ,   ,12.8616,77.58022,+91 80 2668 2232,3.5
Just Punjabi Dhaba,Chinese Indian       ,   ,12.93894,77.56918,+91 96111 93348,4.5
Parathas And Dosas,Indian        ,   ,13.021628,77.63982,+91 80 3271 3131,4
Chung Wah Opus,Chinese        ,   ,12.93516,77.58284,+91 80 3248 8588,4
Ferghana,Japanese Asian       ,   ,12.9361,77.58081,+91 80 4114 1737,3.5
One For The Road,Chinese Indian       ,   ,13.04736,77.62854,+91 98451 09369,4
Faaso's,Fast Food        ,   ,12.8438,77.60792,+91 88844 34722,4
The Club,Chinese        ,   ,12.94264,77.5256,+91 80 2860 0665,3
Domino's Pizza,Pizza Fast Food       ,   ,12.9832,77.6406,+91 80 2521 7444,4
Uttam Sagar Delux,Indian        ,   ,13.00817,77.66716,+91 80 3250 6080,4
Thallessery Hotel,        ,   ,12.96793,77.53795,+91 99022 28501,4
Manchow,        ,   ,12.947,77.52519,+91 80 4161 3121,4.5
Hokkaido Japanese & Korean BBQ Restaurant,Japanese Seafood Barbecue Sushi Thai Japanese Fusion   ,   ,13.013375,77.67513,+91 73056 51666,3
Country Inn & Suites By Radisson,Chinese American Indian Asian Central-Italian    ,   ,13.04094,77.62035,+91 90350 71397,4.5
The Pizza Bakery,Italian Pizza European Neapolitan Campania Southern-Italian   ,   ,12.906381,77.59193,+91 63669 52005,5
Mish Mash,Indian Asian       ,Vegetarian Friendly   ,12.912327,77.64155,+91 80 2258 0091,3.5
Shiv Sagar Express,        ,   ,13.02683,77.57876,,3
Savoury Restaurant,        ,   ,12.90628,77.69856,+91 80 4965 3514,4
Lakshmi Juice Centre,        ,   ,12.98512,77.57509,+91 80 2344 6524,5
On The Rock,Indian Bar Pub      ,   ,12.84498,77.66555,+91 80 4204 7434,4
Kuteeram,Cafe        ,   ,13.0537,77.50755,+91 80 2846 6326,4
Sanjaynagar,Indian        ,   ,13.02949,77.57852,,4.5
Paratha House,Chinese Indian Asian      ,Vegetarian Friendly   ,12.95964,77.64467,+91 99862 12302,3.5
Sidewalk Cafe,Italian Pizza       ,   ,12.96886,77.60041,+91 80 2227 8731,3.5
Java,Indian        ,   ,12.96794,77.6479,+91 80 4137 8888,4
Chullah Bhatti,Indian        ,   ,12.92563,77.54971,+91 76769 27707,4
Infinitea,        ,   ,12.98678,77.59086,41148428,3.5
Gustoes Beer & Boufage,Indian Barbecue Asian Middle Eastern Bangladeshi Afghan Beer restaurants  ,   ,12.92373,77.57449,+91 99166 61626,3
Lucknowiz,Indian        ,   ,12.92669,77.63353,+91 88619 97764,4
Blue Archies for Family,Chinese Indian Seafood Asian Middle Eastern Afghan   ,   ,13.022369,77.51937,+91 80 2372 2123,4
Gongura,Indian        ,   ,12.99371,77.70238,+91 80 4962 6609,3.5
Rolls on Wheels,        ,   ,12.92292,77.59353,+91 96635 21065,4
Iyer's Tiffin Centre,        ,   ,12.9408,77.56483,+91 99866 69388,3.5
Upsouth,        ,   ,12.99278,77.57153,+91 80 2266 7311,4
Aaha Bhojanam,Chinese Indian       ,   ,12.965645,77.7185,+91 81255 92559,5
Shankar Bhel House,        ,   ,12.99441,77.6174,+91 98453 74925,4
Kapoor's Cafe,Indian        ,   ,12.97194,77.59369,+91 98867 52502,5
Sukh Sagar,Chinese Indian Fast Food      ,   ,12.97548,77.48421,+91 80 2553 3633,3.5
Tiddly Tavern,Chinese Indian Asian      ,   ,12.986976,77.736336,+91 90083 81920,5
Tewari Bros Mithai Shoppe,Chinese Indian       ,   ,12.9788,77.61545,+91 80 3292 6265,5
Nandhini Restaurant Jayanagar,        ,   ,12.98263,77.74337,+91 80 4125 9166,4.5
W Xyz,Bar International Pub      ,   ,12.97756,77.74321,+91 80 4965 3273,3.5
Sukh Sagar,        ,Vegetarian Friendly   ,13.02143,77.63703,+91 80 4126 4476,4
Uttara Karnataka Jolada Rotti Meals,        ,   ,12.93776,77.56767,+91 96203 69666,3.5
Curries & Pickles,        ,   ,12.92304,77.59151,+91 97416 69335,4.5
Krishnam Udupi Hotel,Asian        ,   ,12.883739,77.54793,,4
Panda Boy,Chinese        ,   ,13.01599,77.64125,+91 80 4094 2273,4.5
Banbay,Cafe Asian       ,   ,12.99179,77.59422,+91 99003 22550,4.5
The Elaichi Restaurant,Indian        ,   ,12.85032,77.65553,+91 80 4965 2890,3.5
Long Boat Brewing Co.,Brew Pub Bar European Asian Pub Beer restaurants   ,   ,12.951854,77.70041,+91 80 4736 0054,5
Kaifu,Chinese        ,   ,13.03611,77.56676,+91 80 4370 8080,4.5
Adda - The Restaurant,        ,   ,12.88835,77.61731,+91 99865 75697,4
Aviator,Seafood        ,   ,13.195652,77.63503,+91 8071 200 200,4.5
Anand Sweets & Savouries,Indian        ,   ,12.9964,77.61378,+91 80 4125 1707,4.5
Adiga's,        ,   ,12.99449,77.56864,+91 80 4153 5991,3.5
Lazeez,Indian Asian       ,Halal   ,12.93629,77.61678,+91 80 4121 7034,3.5
Fish & Fries,Indian Seafood       ,   ,12.9119,77.64823,+91 98802 02283,3.5
Daivik Restaurant,        ,   ,12.97961,77.57653,+91 80 4022 3344,4
Cafe Mondo,Italian Cafe       ,   ,12.91518,77.65174,+91 99458 64296,4
DimSum & More,Chinese        ,   ,12.93327,77.61509,,4
Chung Wah,Chinese Asian       ,   ,12.97897,77.75335,+91 97400 00000,4
IceBreakers HSR,Cafe        ,   ,12.911219,77.635254,,4.5
Bhagathram Sweets Chats & Fast Foods,Fast Food        ,   ,12.98185,77.6094,+91 97319 85646,3.5
McDonald's,Fast Food        ,   ,12.97465,77.60788,+91 80 4112 3600,4
"Lock, Stock & Barrel Nagawara",        ,   ,13.026,77.70702,+91 80 4965 2987,5
WOW! Momo,Asian Tibetan       ,   ,12.9674,77.61439,+91 88613 51894,4
Banana Leaf,        ,   ,12.95962,77.6414,+91 98453 59983,4
Punjab Restaurant,Indian        ,   ,12.99845,77.67317,40930914,4.5
Double Up,        ,   ,13.027779,77.63245,+91 80 6901 2345,5
Hotel Sangam Paradise,Indian        ,   ,13.19405,77.63548,+91 99867 55818,3.5
Raaga,Indian        ,   ,12.97829,77.64057,+91 80 2525 0235,3.5
Xtreme Sports Bar Marathahalli,Italian Indian Barbecue Fusion     ,   ,12.95632,77.70683,+91 81528 54854,4
Cafe 132,Indian Cafe       ,Vegetarian Friendly   ,12.93365,77.6242,+91 80 4965 3233,3.5
Sizzlers Casa,Japanese American       ,   ,12.98588,77.56054,+91 80 4166 9669,4.5
Chaayos,        ,   ,12.996406,77.696686,+91 1800 120 2424,4
Tandooriwala,Indian        ,   ,12.99298,77.66053,+91 96325 51726,3.5
Nisarga Garden Restaurant,        ,   ,12.98592,77.61071,+91 80 2228 9563,4
Purani Dilli,Indian Fast Food Asian      ,Vegetarian Friendly   ,12.937152,77.61964,+91 80 2563 1555,3.5
The Pizzeria,Italian Pizza       ,   ,12.90731,77.63771,+91 99801 90880,4
Prakriti Ahaara,Italian Indian Mediterranean Asian     ,   ,13.03582,77.51384,+91 88613 02296,4.5
Up South Malleswaram Orion,Fast Food        ,   ,13.011274,77.555016,+91 99806 05384,3.5
Green Onion,Chinese Asian Thai Szechuan Shanghai    ,Vegetarian Friendly   ,,,+91 80 2532 7146,4
Hype,Bar Pub Fusion      ,Vegetarian Friendly   ,12.992322,77.58828,+91 80 4512 6470,5
Shanmukha Restaurant,Chinese Indian       ,Halal   ,12.90666,77.59619,+91 80 4173 5566,4
Hotel Ajantha Restaurant,Indian Asian       ,   ,12.97331,77.61537,+91 80 2558 4321,3.5
Via Milano,Italian Pizza Mediterranean European     ,   ,12.900931,77.70724,+(91)098451955383,3.5
Zatar House,Indian Lebanese Pizza Mediterranean Middle Eastern Afghan   ,   ,12.84084,77.67175,+91 73385 38555,5
Take 5,Chinese Bar Pub      ,   ,12.98276,77.64062,+91 80 3923 6119,3.5
Sports Bar,Bar Pub       ,   ,13.00602,77.57943,+91 80 4965 2846,4.5
Millers Forty Six,Steakhouse        ,   ,12.98783,77.59128,+91 80 4114 8022,4.5
Punjabi Food Corner,Indian        ,   ,12.89771,77.58258,+91 80 2685 0061,4.5
Aloro,Italian European       ,Vegetarian Friendly   ,12.850106,77.660164,+91 80 3003 0303,4
Lady Baga,Bar Cafe Pub      ,   ,12.970769,77.59766,+91 91089 34177,4
Cantan,Chinese Asian       ,   ,13.09044,77.58173,+91 80 4866 9267,5
blueFROG Bangalore,Indian Bar European Pub South American    ,Vegetarian Friendly   ,12.974535,77.60682,+91 80 6999 9549,3.5
Ichak Dana,        ,   ,12.94871,77.71302,+91 93422 46908,5
Ta'aam,Middle Eastern        ,   ,12.99009,77.59943,+91 98455 38234,5
The Beer Cafe,Italian American Bar Pizza Pub    ,   ,13.017701,77.54361,+91 80 4125 2456,3.5
New Chai Gully,Indian Cafe       ,Vegetarian Friendly Vegan Options  ,12.967451,77.71457,+91 80 4131 4000,4
Cafe Garage,Italian Chinese Indian Cafe Barbecue    ,   ,12.417791,76.678986,+91 97424 48186,3.5
Nandini Paradise,Indian Asian       ,Vegetarian Friendly Vegan Options  ,12.93077,77.58207,+91 80 2653 5090,4
Gongura's,Indian        ,Vegetarian Friendly Halal  ,12.90177,77.56091,+91 89041 33998,3.5
Chung Wah,Chinese Asian       ,   ,12.95825,77.57537,+91 80 6454 2088,4
Flavours,Chinese        ,   ,12.96662,77.718,+91 80662 26969,4
Chowman,Chinese        ,   ,12.956853,77.715034,,4
Village Restaurant,Indian        ,   ,12.95766,77.70882,+91 96869 32820,3
Amulya,Indian        ,   ,12.97669,77.57575,+91 80 4173 9693,4
Five Spice Dining,        ,   ,12.90626,77.59003,+91 80 2254 5100,4
Kamat Hotel Restaurant,        ,Vegetarian Friendly   ,12.98965,77.70676,+91 80 2845 9073,3.5
Chopstick World,        ,   ,12.95957,77.56813,+91 80 2323 2336,4.5
Red Tomato,Italian Indian Pizza Fast Food Asian    ,   ,12.918941,77.58363,+91 98454 00444,4.5
Absolute Barbecues,Italian Chinese Indian Barbecue Grill    ,   ,13.09768,77.59629,+91 73373 36832,5
Gelato Italiano,        ,   ,12.97097,77.60848,+91 80 4161 4949,4
Biriyani Zone,Indian        ,Vegetarian Friendly Halal  ,12.952417,77.70022,+91 96864 09911,4
Slounge,        ,   ,12.98417,77.61422,+91 98104 62329,4.5
Chaayos,        ,   ,12.97035,77.64067,,3.5
Sarasa Japanese Kitchen,Japanese        ,   ,12.92902,77.48614,+91 82961 36768,4.5
Santrupti,        ,   ,12.91005,77.57699,+91 80 2356 2357,5
Linoui,Belgian European       ,   ,12.995621,77.69656,+91 80 4128 4128,4
Le Grapes Restobar,Indian Asian Contemporary Dining bars     ,   ,13.00092,77.54978,+91 90662 29980,4
Health Zingo,Chinese Asian Healthy      ,   ,12.9262,77.67168,+91 90192 34758,4
Tibbs Frankie,Fast Food        ,   ,12.981,77.60215,+91 93425 10191,4.5
Kormangala Chutneys,Chinese Indian       ,   ,12.93629,77.61502,+91 80 4161 6555,5
Apsara Ice Cream Parlour,Chinese        ,   ,,,+91 80 2668 6231,4.5
Mani's Dum Biryani,        ,   ,12.93358,77.61575,+91 80 4127 3705,4
Savoury Restaurant,Indian        ,   ,12.98455,77.67617,+91 80 4999 4999,4
Deewar,Chinese        ,   ,12.95687,77.53086,+91 80 2321 6659,3.5
Diletto,        ,   ,12.801555,77.578575,+91 78489 43934,
South Thindies,Indian Fast Food       ,Vegetarian Friendly Vegan Options  ,12.93686,77.57883,+91 80 2662 2660,4
Grand Village,        ,Vegetarian Friendly   ,12.94566,77.57094,+91 80 2661 2447,3.5
Faaso's,Fast Food        ,   ,12.89758,77.61556,+91 88844 91147,4
Lassi Corner,Indian        ,   ,13.021956,77.67161,+91 74068 04000,4
Paris Panini - Gourmet Sandwiches & Wraps,French Cafe European Street Food     ,   ,12.97499,77.60478,+91 99000 31109,5
Swadeshi Family Restaurant,Indian Asian       ,   ,12.846241,77.5204,+91 74110 59111,3
Chai Point,Indian Cafe       ,Vegan Options   ,13.10541,77.56807,+91 92431 50001,4
Spice It,        ,   ,12.900892,77.632416,+91 80 4900 9090,4
Trivoli Garden,Middle Eastern Afghan       ,   ,12.98238,77.5932,+91 80 2228 1234,4
Potteery Nine Cafe,        ,   ,13.04516,77.60105,+91 6366027777 |,2.5
Bhagini,        ,Vegetarian Friendly   ,12.99736,77.69069,+91 80 2590 2960,3.5
Yoga House,        ,Vegetarian Friendly Vegan Options  ,12.9809,77.63831,,3.5
Kakal Kai Ruchi,Indian Asian       ,   ,12.94454,77.57687,+91 94482 81196,3.5
Calcutta Victoria Chat House,Indian        ,   ,13.01023,77.66194,+91 90354 59812,4.5
Domino's Pizza,Pizza Fast Food       ,   ,12.988176,77.59397,+91 80 2238 5855,3.5
New Krishna Sagar Indiranagar,Chinese Soups       ,   ,12.98232,77.64579,+91 80 2543 6644,4
Domino's Pizza,Pizza        ,   ,12.96752,77.71595,+91 80 4167 0261,4
New Kadai,Chinese        ,   ,13.01315,77.63565,+91 90605 38760,4
San Churro Cafe,Mexican Pizza       ,   ,12.92775,77.56212,+91 80 4965 3445,3
KFC,        ,   ,13.06613,77.49317,41626565,4
Copper Chimney - Whitefield,Indian Barbecue       ,   ,12.962484,77.588455,+91 91525 15753,5
Kundapura Express,        ,   ,12.86404,77.55435,+91 99019 55955,4.5
Toscano Wine Connection,Pizza        ,   ,12.98392,77.72893,+91 76193 20077,3
Bengalooru Tiffanys,        ,   ,12.892069,77.57917,+91 80 4160 2808,4
Olives N Peaches,Italian Greek       ,   ,12.97622,77.74068,+91 99860 06081,4.5
Krishna nanda gokula,        ,   ,12.94682,77.53085,+91 99647 76850,4
Cafe Coffee Day,        ,   ,12.90866,77.60388,+91 74832 58059,4.5
Bao & Grill,Chinese Indian International Grill     ,   ,12.99608,77.71596,+91 88928 18439,4
PRANA Organic Restaurant,Healthy Southern-Italian       ,   ,13.02793,77.57155,+91 70227 76607,4
Akshay Darshan Veg,        ,   ,12.9644,77.57811,+91 80 2536 4457,3.5
The Bar Stock Exchange,American Indian       ,   ,12.97619,77.602104,+91 74066 55506,4
Pabrai's Fresh & Naturelle Ice Creams,        ,   ,12.967328,77.607666,+91 95350 06187,5
KFC,American        ,   ,12.94849,77.52231,28607900,4
Middle East Restaurant,Chinese Indian Arabic      ,   ,13.022282,77.638054,,4
Rang De Basanthi,Chinese Indian       ,   ,12.95712,77.51429,+91 80 6050 0444,4
Sri Venkateshwara Sweetmeat Stall,        ,   ,12.94498,77.57106,+91 80 2662 5888,4
The Parisian Cafe By Breadworks,French        ,   ,13.06905,77.50059,+91 80 4090 1323,5
SLV Swadishta,Indian Asian       ,   ,12.97087,77.65399,+91 99001 66783,3.5
Refresh,Fast Food        ,   ,12.97329,77.75038,+91 80 4965 3261,3.5
Curries and Pickles,Chinese        ,   ,12.97224,77.67994,+91 98864 54566,3.5
Bisi Bisi Thindi,        ,   ,12.96543,77.50398,+91 96064 11234,4
Tandoor Hut,Chinese Indian Asian      ,Vegetarian Friendly Vegan Options  ,,,+91 80 2550 1899,4
Bhimas Garden Restaurant,Cafe        ,   ,12.993708,77.57698,+91 80952 92366,4
Shuddh Desi Khana,Indian        ,   ,12.88919,77.60229,+91 89043 34681,4
Three Street,Asian        ,   ,12.887064,77.54331,+91 93228 00100,4
Beijing Bites,Chinese        ,   ,12.98466,77.67535,+91 80 4228 6088,3.5
SLV Delite,Indian        ,   ,12.97522,77.53438,+91 80 4043 4043,4
Urban Food Market,European        ,   ,13.19813,77.68569,,2.5
Banjara,        ,   ,12.98409,77.58632,+91 80 4129 1300,3
The Beer Restaurant,Cafe        ,   ,12.9703,77.64132,+91 80 4098 2456,3
Princess,Indian        ,   ,12.91693,77.59019,+91 88920 77889,4.5
Adyar Ananda Bhavan Sweets,Indian        ,   ,12.98039,77.57695,+91 80 4151 8999,4.5
Pecos,Pub Gastropub       ,   ,12.973445,77.60738,+91 80 4114 2038,4.5
Malgudi Southern Cuisine,        ,   ,12.95973,77.64608,25502333,3.5
Hongkong Noodles,Chinese Thai       ,   ,13.01844,77.67235,+91 80 4206 4225,4
Snow Lion - Flavors Of Tibet,Chinese Asian Tibetan      ,   ,12.98788,77.61106,+91 96639 02053,4
Domino's Pizza,Pizza        ,   ,12.93846,77.63104,+91 80 4936 0888,4
Shake It Off,        ,   ,12.921867,77.58955,+91 91081 25369,4.5
Raenss Cafe,American        ,   ,12.9832,77.6406,+91 80 4113 3234,5
Subway,Fast Food        ,   ,12.93253,77.58598,+91 97414 66958,4.5
Karavali Beach,Chinese Seafood       ,   ,12.98954,77.57315,+91 80 2356 3720,3.5
R K Garden Family Restaurant,Indian        ,   ,12.79216,77.72835,+91 80 2550 7770,4
Nando's Mall of Asia,African European Grill Healthy Portuguese    ,   ,13.070695,77.591,+91 99994 94073,
Sunny Holiday Village,        ,   ,12.85898,77.56951,+91 96321 74614,5
Hotel Elite Restaurant,Chinese        ,   ,13.05111,77.50766,+91 80 2837 7077,4
Blackbuck Cafe,Pizza        ,   ,12.80133,77.57899,,
Moto Store & Cafe,Fast Food        ,   ,13.01723,77.70448,+91 99860 01270,5
Bangalore Agarwal Bhavan,Chinese        ,   ,12.91427,77.63533,+91 93799 12345,3.5
Krishna Sagar,        ,   ,12.84498,77.66555,+91 80 2552 4411,4.5
Kabab Magic Restaurant,        ,   ,12.9715,77.65396,25538533,4
Roma's Punjabi Dhaba,Indian        ,   ,12.978,77.63958,+91 90366 21912,5
Cafe Coffee Day,Cafe        ,   ,12.96103,77.59719,+91 74830 68689,4.5
Parika Seafood,        ,   ,12.96498,77.64932,+91 96861 98146,4
V-One Fast Food,        ,   ,13.01404,77.49069,+91 98447 69636,4.5
Dalma,        ,   ,12.93312,77.62968,+91 80 4160 0213,4
Courtyard,Chinese        ,   ,13.01949,77.70823,+91 80 4190 3000,4.5
Snack That,        ,   ,12.91098,77.58883,,4.5
Hotel Kadamba Restaurant,        ,   ,12.97309,77.63584,+91 94488 55923,4.5
49 Parantha Gali,Indian Asian       ,Vegetarian Friendly   ,12.90717,77.63802,,3.5
Hopshaus Brewery & Kitchen,Mexican Indian Brew Pub Pizza Asian Pub   ,   ,12.967181,77.74967,+91 63662 30336,4
Gowri Gajanand Sweets,        ,   ,12.95034,77.71305,+91 74117 97343,4
US Pizza,        ,   ,12.95584,77.7155,+91 97395 61788,4.5
Chungs Chinese Corner,Chinese        ,   ,12.97913,77.64384,+91 80 2664 4700,4
Baskin-Robbins,        ,   ,13.0989,77.59761,+91 80 4115 7883,4.5
Beijing Bites,Chinese Thai       ,   ,13.00457,77.58664,+91 80 4117 1313,4.5
"1441 Pizzeria J.P, Nagar",Italian Pizza Fast Food      ,   ,12.915597,77.58598,+91 82919 71441,3
Goli Vada Pav No. 1,Fast Food        ,   ,12.93954,77.58354,+91 98441 11020,4.5
Karigiri Refreshments,        ,   ,12.98454,77.55143,+91 94480 75865,4.5
Szechuan,Chinese        ,   ,13.09958,77.57537,+91 99802 12361,4
Skillion Cafe,Chinese Indian Thai      ,   ,13.040871,77.62082,+91 80739 52769,5
Kerala Restaurant,        ,   ,12.97633,77.71019,+91 80 6456 7890,4.5
Cafe Azzure ( Airport Road ),Italian Chinese       ,   ,13.058844,77.475266,+91 77606 26583,4
Frozen Bottle,Cafe International       ,   ,12.91316,77.67967,,5
Meera Delicacy,        ,   ,12.94554,77.5783,+91 95912 44544,3.5
Biryani Mall,        ,   ,13.15605,77.62761,+91 89512 12186,3.5
The Tower Kitchen,European        ,   ,12.96843,77.59477,+(91)49399999,3.5
Vande Matharam,Chinese Indian Asian      ,Vegetarian Friendly   ,12.98368,77.54885,+91 80 2347 8111,3
Sri Krishna Sagar,Indian Asian       ,   ,12.93435,77.62362,+91 80 2572 1133,3.5
Tea Trails - Brigade Road,Italian Indian Cafe      ,   ,12.970546,77.60674,+91 99450 50061,2.5
New Shanthi Sagar,Chinese        ,   ,12.97829,77.63657,+91 80 2525 1321,3.5
Peppermill restaurant,Indian        ,   ,12.9804,77.57767,+91 80 2228 4600,4
Indian Bistro,        ,   ,13.058632,77.592926,+91 70229 67032,4
Birbal Darbar,        ,   ,12.92636,77.67696,+91 96321 55300,3.5
Prem's Graama Bhojanam,Indian        ,   ,12.92682,77.57814,+91 96119 80542,5
Shanghai Bistro,Chinese Thai Vietnamese      ,   ,12.907295,77.67559,+91 87929 50032,3.5
Richie Rich,        ,   ,12.98116,77.57522,+91 80 2221 3302,4.5
Blue Lagoon,        ,   ,12.96578,77.60687,+91 80661 77777,4.5
The Punjabi Rasoi,Indian        ,   ,12.981223,77.640495,+91 80 2333 9171,4
Cilantro,Italian Asian       ,Vegetarian Friendly   ,12.935932,77.63133,+91 80 4110 2200,3.5
F Cafe & Bar,Italian American Indian Mediterranean Sushi    ,   ,12.969831,77.638374,+91 91237 30752,5
Copper N Pepper,        ,   ,12.908322,77.651505,+91 88673 14455,5
"Waves Lounge, Bangalore",Fusion        ,   ,12.98865,77.53764,,3.5
Sri Krishna Sweets,Fast Food        ,   ,12.94177,77.57115,+91 80 2660 3727,4
Kanti Sweets,Cafe        ,   ,12.99749,77.54686,+91 80 2296 0606,4.5
Roti Satkar,Indian Diner       ,   ,12.974116,77.6784,+91 70222 01999,1
Mr. Bojangles,American Fast Food Diner      ,   ,12.933566,77.62122,+91 80 4151 6131,4
Talk Over Table,        ,   ,12.97162,77.64428,1.08E+11,3.5
Grubnomic,        ,   ,12.9336,77.62691,+91 80 4160 6041,4
Chocoberry,Cafe        ,   ,12.90393,77.56201,+91 77606 11809,4.5
Udupi Nalapaka,        ,   ,12.9264,77.67791,+91 99456 68630,4.5
Priyadarshini Veg,Indian        ,   ,12.87972,77.76087,+91 80 2782 2323,4
Box8,Indian Asian       ,Vegetarian Friendly   ,12.98458,77.70976,+91 80 3355 2698,3.5
Zodiac,        ,   ,12.98425,77.74919,+91 80 4020 0200,3.5
Kamat Minerva,Indian        ,Vegetarian Friendly Vegan Options  ,12.96177,77.58426,+91 80 2670 3813,3.5
Kairali Restaurant,Chinese        ,   ,12.99121,77.65708,+91 80 6564 2233,3.5
Chicken County,Indian        ,Halal   ,12.970793,77.59032,+91 80 2220 7384,3.5
Kedia's Fun Food,        ,   ,12.93048,77.5816,+91 98452 90246,4
Pizza Hut,Italian Pizza       ,   ,12.97384,77.60755,+91 80 2532 0799,3.5
WelcomeCafe Jacarnda,Cafe        ,   ,12.96561,77.60242,,5
Beijing Bites,Chinese Asian Szechuan      ,   ,12.88998,77.59776,+91 98869 79600,4
Pai Vihar,        ,   ,12.9833,77.5833,+91 80 4123 5143,4
Sri Venkateshwara Sweet Meat Stall,Cafe        ,   ,12.92281,77.58679,+91 80 2244 5501,4
Secret Story Bar & Kitchen,Indian        ,   ,12.97194,77.59369,,4
Uthra,Chinese Indian       ,   ,,,+91 91138 57553,5
BadeMiyan Kebabs,Indian Middle Eastern       ,   ,13.011006,77.554634,+91 80672 82222,4
Rich Grills Restaurant Mahalakshmi Layout,Indian Barbecue Grill Street Food Arabic    ,   ,13.013957,77.54429,+91 80501 01819,
Pebbles,        ,   ,12.977654,77.59158,,3.5
Popeyes,American Indian Asian Grill Soups    ,   ,12.937695,77.62664,+91 1800 309 1234,1.5
Hotel Mangala Restaurant,Indian        ,   ,12.94161,77.55909,+91 99000 00958,4
Mishmash,Italian Mexican Indian      ,Vegetarian Friendly   ,12.912128,77.651146,+91 80 2258 0091,3.5
Malabar Quality Restaurant,        ,   ,12.96771,77.65447,25290660,3.5
Yuan Restaurant,Chinese Asian       ,   ,12.97942,77.51062,+91 80 4097 4045,4
Rangastaalamm Andhra Cuisine Restaurant,Indian        ,   ,12.3374,76.089874,+91 96116 63663,5
Hunan Square,Chinese Japanese Asian Thai Korean Vietnamese   ,   ,12.84134,77.647514,+91 77607 71777,
